scenario,participant_id,name,side,changed,preference_change,score_delta,before_assigned,after_assigned,before_teammates,after_teammates,before_ranks,after_ranks,before_load,after_load,before_score,after_score,before_capacity,after_capacity
allow-four,s01,Alex,,False,equal,0.0,"[""climate""]","[""climate""]","[""s02"", ""s03""]","[""s02"", ""s03""]",[1],[1],2,2,0.975,0.975,,
allow-four,s02,Blair,,False,equal,0.0,"[""climate""]","[""climate""]","[""s01"", ""s03""]","[""s01"", ""s03""]",[2],[2],2,2,0.85,0.85,,
allow-four,s03,Casey,,False,equal,0.0,"[""climate""]","[""climate""]","[""s01"", ""s02""]","[""s01"", ""s02""]",[null],[null],2,2,0.475,0.475,,
allow-four,s04,Devon,,False,equal,0.0,"[""housing""]","[""housing""]","[""s05"", ""s06""]","[""s05"", ""s06""]",[1],[1],2,2,0.975,0.975,,
allow-four,s05,Emery,,False,equal,0.0,"[""housing""]","[""housing""]","[""s04"", ""s06""]","[""s04"", ""s06""]",[2],[2],2,2,0.85,0.85,,
allow-four,s06,Finley,,False,equal,0.0,"[""housing""]","[""housing""]","[""s04"", ""s05""]","[""s04"", ""s05""]",[3],[3],2,2,0.725,0.725,,
allow-four,s07,Gray,,False,equal,0.0,"[""transit""]","[""transit""]","[""s08"", ""s09""]","[""s08"", ""s09""]",[1],[1],2,2,0.975,0.975,,
allow-four,s08,Harper,,False,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s09""]","[""s07"", ""s09""]",[2],[2],2,2,0.85,0.85,,
allow-four,s09,Indigo,,False,equal,0.0,"[""transit""]","[""transit""]","[""s07"", ""s08""]","[""s07"", ""s08""]",[2],[2],2,2,0.85,0.85,,
allow-four,s10,Jules,,False,equal,0.0,"[""food""]","[""food""]","[""s11"", ""s12""]","[""s11"", ""s12""]",[1],[1],2,2,0.975,0.975,,
allow-four,s11,Kai,,False,equal,0.0,"[""food""]","[""food""]","[""s10"", ""s12""]","[""s10"", ""s12""]",[2],[2],2,2,0.85,0.85,,
allow-four,s12,Lane,,False,equal,0.0,"[""food""]","[""food""]","[""s10"", ""s11""]","[""s10"", ""s11""]",[2],[2],2,2,0.85,0.85,,
target-four,s01,Alex,,True,lower_score,-0.4,"[""climate""]","[""housing""]","[""s02"", ""s03""]","[""s04"", ""s05"", ""s06""]",[1],[2],2,3,0.975,0.575,,
target-four,s02,Blair,,True,lower_score,-0.6,"[""climate""]","[""food""]","[""s01"", ""s03""]","[""s10"", ""s11"", ""s12""]",[2],[3],2,3,0.85,0.25,,
target-four,s03,Casey,,True,higher_score,0.22499999999999998,"[""climate""]","[""transit""]","[""s01"", ""s02""]","[""s07"", ""s08"", ""s09""]",[null],[1],2,3,0.475,0.7,,
target-four,s04,Devon,,True,equal,0.0,"[""housing""]","[""housing""]","[""s05"", ""s06""]","[""s01"", ""s05"", ""s06""]",[1],[1],2,3,0.975,0.975,,
target-four,s05,Emery,,True,equal,0.0,"[""housing""]","[""housing""]","[""s04"", ""s06""]","[""s01"", ""s04"", ""s06""]",[2],[2],2,3,0.85,0.85,,
