reviewer_id,reviewer_name,submission_id,submission_title,rank,score
s01,Fictional Student 1,p05,Climate essay 5,1,1.0
s01,Fictional Student 1,p09,Climate essay 9,2,0.8571428571428571
s01,Fictional Student 1,p12,Technology essay 12,3,0.7142857142857143
s02,Fictional Student 2,p06,Education essay 6,1,1.0
s02,Fictional Student 2,p10,Education essay 10,2,0.875
s02,Fictional Student 2,p11,Labor essay 11,5,0.5
s03,Fictional Student 3,p07,Labor essay 7,1,1.0
s03,Fictional Student 3,p08,Technology essay 8,3,0.75
s03,Fictional Student 3,p11,Labor essay 11,2,0.875
s04,Fictional Student 4,p08,Technology essay 8,1,1.0
s04,Fictional Student 4,p09,Climate essay 9,4,0.625
s04,Fictional Student 4,p12,Technology essay 12,2,0.875
s05,Fictional Student 5,p01,Climate essay 1,1,1.0
s05,Fictional Student 5,p02,Education essay 2,3,0.75
s05,Fictional Student 5,p09,Climate essay 9,2,0.875
s06,Fictional Student 6,p02,Education essay 2,1,1.0
s06,Fictional Student 6,p07,Labor essay 7,4,0.625
s06,Fictional Student 6,p10,Education essay 10,2,0.875
s07,Fictional Student 7,p03,Labor essay 3,2,0.875
s07,Fictional Student 7,p06,Education essay 6,4,0.625
s07,Fictional Student 7,p11,Labor essay 11,1,1.0
s08,Fictional Student 8,p03,Labor essay 3,4,0.625
s08,Fictional Student 8,p04,Technology essay 4,1,1.0
s08,Fictional Student 8,p12,Technology essay 12,2,0.875
s09,Fictional Student 9,p01,Climate essay 1,2,0.875
s09,Fictional Student 9,p05,Climate essay 5,1,1.0
s09,Fictional Student 9,p10,Education essay 10,3,0.75
s10,Fictional Student 10,p02,Education essay 2,1,1.0
s10,Fictional Student 10,p05,Climate essay 5,3,0.75
s10,Fictional Student 10,p06,Education essay 6,2,0.875
s11,Fictional Student 11,p03,Labor essay 3,1,1.0
s11,Fictional Student 11,p04,Technology essay 4,4,0.625
s11,Fictional Student 11,p07,Labor essay 7,2,0.875
s12,Fictional Student 12,p01,Climate essay 1,6,0.375
s12,Fictional Student 12,p04,Technology essay 4,1,1.0
s12,Fictional Student 12,p08,Technology essay 8,2,0.875
